orig,dest,flow
Delaware,Oregon,0
Delaware,Pennsylvania,60.99874
Delaware,Rhode Island,4.230919999999999
Delaware,South Carolina,0
Delaware,South Dakota,0
Delaware,Tennessee,1.17442
Delaware,Texas,0
Delaware,Utah,0
Delaware,Vermont,0
Delaware,Virginia,30.288419999999995
Delaware,Washington,5.83836
Delaware,West Virginia,0.16286
Delaware,Wisconsin,3.31282
Delaware,Wyoming,0
Florida,Alabama,57.314440000000005
Florida,Arizona,36.216840000000005
Florida,Arkansas,3.3129600000000003
Florida,California,183.51754
Florida,Colorado,22.98878
Florida,Connecticut,0.99584
Florida,Delaware,1.3395800000000002
Florida,Florida,3867.2673999999997
Florida,Georgia,222.24408
Florida,Idaho,1.82224
Florida,Illinois,48.260059999999996
Florida,Indiana,24.836039999999997
Florida,Iowa,2.01682
Florida,Kansas,17.91712
Florida,Kentucky,7.040259999999999
Florida,Louisiana,29.15792
Florida,Maine,9.89218
Florida,Maryland,67.61786
Florida,Massachusetts,32.4678
Florida,Michigan,31.567560000000004
Florida,Minnesota,19.7419
Florida,Mississippi,4.548959999999999
Florida,Missouri,24.345360000000003
Florida,Montana,1.1697799999999998
Florida,Nebraska,1.56966
Florida,Nevada,7.09666
Florida,New Hampshire,0.39356
Florida,New Jersey,59.579719999999995
Florida,New Mexico,0.61864
Florida,New York,127.5024
Florida,North Carolina,42.93584
Florida,North Dakota,0
Florida,Ohio,64.34928
Florida,Oklahoma,28.51492
Florida,Oregon,7.440779999999999
Florida,Pennsylvania,59.12486
Florida,Rhode Island,0.6157199999999999
Florida,South Carolina,32.65926
Florida,South Dakota,1.21934
Florida,Tennessee,94.33904
Florida,Texas,80.03659999999999
Florida,Utah,7.4501599999999994
Florida,Vermont,0
Florida,Virginia,14.60582
Florida,Washington,21.55206
Florida,West Virginia,1.08218
Florida,Wisconsin,14.849920000000001
Florida,Wyoming,1.10592
Georgia,Alabama,374.3121
Georgia,Arizona,2.01836
Georgia,Arkansas,113.88065999999999
Georgia,California,23.517879999999998
Georgia,Colorado,3.23074
Georgia,Connecticut,8.161660000000001
Georgia,Delaware,0.0013
Georgia,Florida,464.9837600000001
Georgia,Georgia,2458.51344
Georgia,Idaho,9.8e-4
Georgia,Illinois,146.4846
Georgia,Indiana,21.4095
Georgia,Iowa,13.23896
Georgia,Kansas,23.915560000000003
Georgia,Kentucky,93.23934
Georgia,Louisiana,38.85356
Georgia,Maine,0
Georgia,Maryland,25.18082
Georgia,Massachusetts,2.21902
Georgia,Michigan,13.361839999999997
Georgia,Minnesota,2.53668
Georgia,Mississippi,79.87201999999999
Georgia,Missouri,18.42162
Georgia,Montana,0.1809
Georgia,Nebraska,1.5035599999999998
Georgia,Nevada,0.5206799999999999
Georgia,New Hampshire,0.01456
Georgia,New Jersey,5.1132800000000005
Georgia,New Mexico,0
Georgia,New York,37.2583
Georgia,North Carolina,324.28894
Georgia,North Dakota,0
Georgia,Ohio,27.40342
Georgia,Oklahoma,1.80892
Georgia,Oregon,1.4178799999999998
Georgia,Pennsylvania,23.25928
Georgia,Rhode Island,0.18988
Georgia,South Carolina,171.74602000000002
Georgia,South Dakota,0.09038
Georgia,Tennessee,74.82578000000001
Georgia,Texas,77.29312
Georgia,Utah,0
Georgia,Vermont,0
Georgia,Virginia,58.38392
Georgia,Washington,3.3853999999999997
Georgia,West Virginia,18.6704
Georgia,Wisconsin,31.54932
Georgia,Wyoming,0.040600000000000004
Idaho,Alabama,12.54368
Idaho,Arizona,4.72884
Idaho,Arkansas,0.45990000000000003
Idaho,California,46.912699999999994
Idaho,Colorado,36.82772
Idaho,Connecticut,0.9408200000000001
Idaho,Delaware,0
Idaho,Florida,14.81146
Idaho,Georgia,15.4175
Idaho,Idaho,834.62742
Idaho,Illinois,22.55742
Idaho,Indiana,7.6048
Idaho,Iowa,16.599020000000003
Idaho,Kansas,0.6338
Idaho,Kentucky,17.38814
Idaho,Louisiana,0.43479999999999996
Idaho,Maine,0.39588
Idaho,Maryland,5.7888
Idaho,Massachusetts,4.4484
Idaho,Michigan,6.22924
Idaho,Minnesota,7.822359999999999
Idaho,Mississippi,6.13296
Idaho,Missouri,35.27104
Idaho,Montana,56.47098
Idaho,Nebraska,3.6787799999999997
Idaho,Nevada,7.27338
Idaho,New Hampshire,3.2e-4
Idaho,New Jersey,0.79928
Idaho,New Mexico,0
Idaho,New York,22.23124
Idaho,North Carolina,1.49528
Idaho,North Dakota,2.1758800000000003
Idaho,Ohio,18.33406
Idaho,Oklahoma,4.09968
Idaho,Oregon,42.44172
Idaho,Pennsylvania,12.49326
Idaho,Rhode Island,0
Idaho,South Carolina,0.52418
Idaho,South Dakota,0
Idaho,Tennessee,20.86704
Idaho,Texas,18.80824
Idaho,Utah,19.1591
Idaho,Vermont,0.42375999999999997
Idaho,Virginia,22.96006
Idaho,Washington,57.56604
Idaho,West Virginia,0
Idaho,Wisconsin,12.824860000000001
Idaho,Wyoming,0
Illinois,Alabama,67.17582
Illinois,Arizona,19.959380000000003
Illinois,Arkansas,30.382240000000003
Illinois,California,267.42086
Illinois,Colorado,59.07242
Illinois,Connecticut,18.35794
Illinois,Delaware,5.82818
Illinois,Florida,273.43050000000005
Illinois,Georgia,304.92906
Illinois,Idaho,12.55122
Illinois,Illinois,11031.72626
Illinois,Indiana,321.07262
Illinois,Iowa,323.74896
Illinois,Kansas,49.7202
Illinois,Kentucky,89.20168000000001
Illinois,Louisiana,1059.62146
Illinois,Maine,0.12192
Illinois,Maryland,67.31684
Illinois,Massachusetts,45.58034
Illinois,Michigan,185.98214000000002
Illinois,Minnesota,164.78746
Illinois,Mississippi,194.97546
Illinois,Missouri,811.19362
Illinois,Montana,4.81428
Illinois,Nebraska,70.03568
Illinois,Nevada,13.6356
Illinois,New Hampshire,10.181259999999998
Illinois,New Jersey,108.36784
Illinois,New Mexico,3.9472
Illinois,New York,208.46494
Illinois,North Carolina,64.40324
Illinois,North Dakota,0.33148
Illinois,Ohio,242.81116000000003
Illinois,Oklahoma,11.94384
Illinois,Oregon,57.53366000000001
Illinois,Pennsylvania,166.77215999999999
Illinois,Rhode Island,0.22139999999999999
Illinois,South Carolina,33.78216
Illinois,South Dakota,4.28224
Illinois,Tennessee,320.59022000000004
Illinois,Texas,242.72076
Illinois,Utah,231.01912000000002
Illinois,Vermont,0.8867999999999998
Illinois,Virginia,47.6125
Illinois,Washington,48.467400000000005
Illinois,West Virginia,14.590160000000001
Illinois,Wisconsin,410.06484
Illinois,Wyoming,3.1937
Indiana,Alabama,51.477380000000004
